"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
2,,"Admiral Drive","P6C 5W3","SSM",46.53908079,-84.38753297,700312.2100000009,5157261.76
3,,"Admiral Drive","P6C 5W2","SSM",46.53907644,-84.38818948,700261.8900000006,5157259.609999999
4,,"Admiral Drive","P6C 5W3","SSM",46.53923136,-84.38759591,700306.8300000001,5157278.33
5,,"Admiral Drive","P6C 5W2","SSM",46.53938789,-84.38823088,700257.5700000003,5157294.109999999
6,,"Admiral Drive","P6C 5W3","SSM",46.53939504,-84.3876144,700304.8100000005,5157296.470000001
7,,"Admiral Drive","P6C 5W2","SSM",46.53951292,-84.38824,700256.4100000001,5157307.98
8,,"Admiral Drive","P6C 5W3","SSM",46.53955907,-84.38760875,700304.6400000006,5157314.710000001
9,,"Admiral Drive","P6C 5W2","SSM",46.53967473,-84.38825128,700254.9499999993,5157325.93
10,,"Admiral Drive","P6C 5W3","SSM",46.53969122,-84.38761414,700303.7400000002,5157329.380000001
11,,"Admiral Drive","P6C 5W2","SSM",46.53983946,-84.38824847,700254.5600000005,5157344.24
12,,"Admiral Drive","P6C 5W3","SSM",46.53987076,-84.38762157,700302.5099999998,5157349.3100000005
13,,"Admiral Drive","P6C 5W2","SSM",46.54001418,-84.38823813,700254.7100000009,5157363.68
14,,"Admiral Drive","P6C 5W3","SSM",46.54005448,-84.38761093,700302.6500000004,5157369.75
15,,"Admiral Drive","P6C 5W2","SSM",46.54021562,-84.38825102,700252.9800000004,5157386.029999999
16,,"Admiral Drive","P6C 5W3","SSM",46.54022299,-84.38762397,700301.0299999993,5157388.4399999995
17,,"Admiral Drive","P6C 5W2","SSM",46.54039303,-84.38827551,700250.4499999993,5157405.68
18,,"Admiral Drive","P6C 5W3","SSM",46.54038678,-84.38763163,700299.8399999999,5157406.619999999
19,,"Admiral Drive","P6C 5W2","SSM",46.54054999,-84.38827528,700249.8900000006,5157423.119999999
