"CIVICNUMBER","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE"
6,"Terry Fox Place","P6A 6M9","SSM",46.52449355,-84.25722093
474,"Maki Road","P6A 5K8","SSM",46.56651798,-84.41631407
103,"Pinto Drive","P6A 0B4","SSM",46.54175924,-84.40999687
7,"Sunset Drive","P6C 6G4","SSM",46.5402838,-84.41874323
968,"Allen's Side Road","P6A 5K8","SSM",46.55431518,-84.40328396
23,"Anderson Road","P6C 5S1","SSM",46.53676917,-84.41399453
75,"Ellis Road","P6C 1N9","SSM",46.53124605,-84.40899812
1670,"Base Line","P6A 5K6","SSM",46.52103501,-84.46388185
54,"McQueen Road","P6C 6E3","SSM",46.56335469,-84.38585936
16,"Ransome Drive","P6C 1N2","SSM",46.53077023,-84.40390095
239,"Allen's Side Road","P6C 5P7","SSM",46.53004381,-84.40287359
1149,"Town Line Road","P6A 6K4","Prince",46.5409798,-84.46731868
1471,"Goulais Avenue","P6A 5K8","SSM",46.57366107,-84.38446647
530,"Maki Road","P6A 5K8","SSM",46.56865972,-84.41682538
61,"Avery Road","P6A 5K8","SSM",46.55788163,-84.40723498
71,"Ellis Road","P6C 1N9","SSM",46.53123541,-84.40866766
150,"Pageant Drive","P6B 5J9","SSM",46.5264684,-84.29847594
1643,"Third Line West","P6A 5K8","SSM",46.55000348,-84.43114043
62,"McQueen Road","P6C 6E3","SSM",46.56333081,-84.38619246
33,"Ellis Road","P6C 1N7","SSM",46.53131899,-84.40683278
686,"Red Pine Drive","P6A 5K6","SSM",46.48206369,-84.46863051
1285,"Allen's Side Road","P6A 5K8","SSM",46.56530493,-84.40236884
974,"Allen's Side Road","P6A 5K8","SSM",46.55475805,-84.40325943
820,"Fourth Line West","P6A 5K8","SSM",46.56621337,-84.39216918
46,"Foothill Road","P6C 0E4","SSM",46.56500966,-84.38556686
22,"Wilks Street","P6C 2M7","SSM",46.53770109,-84.41438691
161,"Asquith Street","P6C 1R1","SSM",46.53107926,-84.38970777
747,"Second Line West","P6C 2K8","SSM",46.53651594,-84.38727576
509,"Maki Road","P6A 5K8","SSM",46.56754313,-84.41774672
87,"Pinto Drive","P6A 0B4","SSM",46.54201315,-84.40947336
290,"Nixon Road","P6C 5R8","SSM",46.53042645,-84.41118383
140,"East Balfour Street","P6C 1X6","SSM",46.53334412,-84.38599046
1532,"Third Line West","P6A 5K8","SSM",46.55260373,-84.42843383
148,"East Balfour Street","P6C 1X6","SSM",46.53350144,-84.38561241
55,"Foothill Road","P6C 0E5","SSM",46.56458743,-84.38586013
8,"Terry Fox Place","P6A 6M9","SSM",46.52456571,-84.2571448
77,"Foothill Road","P6C 0E5","SSM",46.56452127,-84.38698927
288,"Dacey Road","P6A 5J7","SSM",46.52430544,-84.25738922
145,"McQueen Road","P6C 6E3","SSM",46.56270258,-84.39028414
1659,"Second Line West","P6A 5K8","SSM",46.53536815,-84.43327832
4,"Anich Road","P6A 0B5","SSM",46.5722486,-84.38980914
1363,"Base Line","P6A 5K6","SSM",46.52030696,-84.44943506
1888,"Second Line West","P6A 5K8","SSM",46.53598715,-84.44324976
2065,"Third Line West","P6A 5K8","SSM",46.54890543,-84.45464365
809,"Town Line Road","P6A 6K4","Prince",46.52935287,-84.46687734
1964,"Third Line West","P6A 5K8","SSM",46.55002478,-84.45021859
105,"Allen's Side Road","P6C 5P4","SSM",46.52560997,-84.40265188
29,"Anderson Road","P6C 5S1","SSM",46.53716139,-84.41398672
1413,"Leigh's Bay Road","P6A 5K8","SSM",46.55255203,-84.42711606
638,"Black Road","P6A 0C8","SSM",46.53997924,-84.2865562
783,"Town Line Road","P6A 6K4","Prince",46.52734072,-84.46640489
1695,"Third Line West","P6A 5K8","SSM",46.54812899,-84.43657799
73,"Pinto Drive","P6A 0B4","SSM",46.54220468,-84.40896939
758,"Carpin Beach Road","P6A 5K6","SSM",46.52698119,-84.44414112
310,"Nixon Road","P6C 5R8","SSM",46.5310943,-84.41112287
104,"Ransome Drive","P6C 1N6","SSM",46.53061555,-84.4089521
