"LABEL","STOPNUMBER","SHELTERTYPE","SERVICEDAYS","TRANSFERPOINT","BENCH","GARBAGECAN","SHELTER","LATITUDE","LONGITUDE","geometry.x","geometry.y"
"Station Tower",,,"Daily","No","No","NO","No",46.51103779,-84.33493413,704450.3499999996,5154280.789999999
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50809445,-84.33107464,704757.4800000004,5153963.76
"Bay Tower",,,"Daily","No","Yes","NO","No",46.50812532,-84.33143706,704729.5600000005,5153966.25
"Lyons Tim-Br Mart",,,"Daily","No","No","NO","No",46.51797172,-84.28811124,708015.75,5155173.59
,,,"Daily","No","No","NO","No",46.53711517,-84.2404705,711595.4900000002,5157427.32
"Civic # 418",,,"Daily","No","No","NO","No",46.52584811,-84.33827742,704138.3699999992,5155917.720000001
"Beside Civic # 5",,,"Daily","No","No","NO","No",46.53859205,-84.32954926,704759.8100000005,5157356.33
"B.S.",,"New Dome Shelter","Daily","Yes","Yes","YES","Yes",46.53807721,-84.32861161,704833.6400000006,5157301.5600000005
"Phatboy Fireworks",,,"Daily","No","No","NO","No",46.53830214,-84.32097135,705418.5999999996,5157346.42
"Across from Civic # 466",,,"Daily","No","No","NO","No",46.51490561,-84.30755116,706536.2899999991,5154781.85
,,"New Double Dome Shelter","Daily","No","Yes","YES","Yes",46.50188011,-84.28864446,708036.2799999993,5153384.24
,,"Bus Terminal","Daily","No","Yes","NO","Yes",46.51557773,-84.33782511,704211.5600000005,5154777.74
"Railroad Tracks",,,"Daily","No","No","NO","No",46.50980467,-84.31928045,705655.8300000001,5154184.449999999
"Royal Cdn. Legion",,,"Daily","No","No","YES","No",46.52832324,-84.31927686,705586.1999999993,5156242.07
"OPSEU",,,"Daily","No","No","YES","No",46.53035719,-84.31927035,705579.0199999996,5156468.08
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.52169877,-84.31434628,705989.3699999992,5155518.880000001
"South of Amber St",,,"Daily","No","No","NO","No",46.51327107,-84.25494733,710577.6600000001,5154739.26
,,,"Daily","No","No","NO","No",46.51988118,-84.2499461,710935.6999999993,5155487.07
"Civic # 973",,,"Daily","No","No","NO","No",46.54518689,-84.35098974,703091.2899999991,5158033.66
"Across from Murton Ave.",,,"Daily","No","No","NO","No",46.5447052,-84.36673047,701886.3300000001,5157939.73
,,,"Weekdays","No","No","NO","No",46.54057145,-84.32947354,704758.1699999999,5157576.460000001
"Civic # 1579",,,"Daily","No","No","NO","No",46.4988412,-84.28502953,708325.25,5153056.119999999
,,,"Daily","No","No","NO","No",46.51384305,-84.33987747,704060.6300000008,5154579.6899999995
"Armstrong Audiology",,,"Daily","No","No","NO","No",46.51565608,-84.33271604,704603.1600000001,5154799.68
"Civic # 183",,,"Daily","No","No","NO","No",46.5166365,-84.3353881,704394.5199999996,5154901.6899999995
"Civic # 601",,,"Daily","No","No","NO","No",46.53121847,-84.37601906,701224.0700000003,5156417.470000001
"Civic # 1298",,,"Daily","No","No","NO","No",46.50330283,-84.29788669,707321.7599999998,5153518
