"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","COLLECTIONDAY","OPERATOR","ROUTENUMBER","LEAF_YARD_WASTE_COLLECTION","REFUSE_DAY","RECYCLING_DAY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
877,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55306198,-84.40402711,698996.4299999997,5158773.48
365,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56412973,-84.41630527,698014.9800000004,5159972.33
568,,"Fourth Line West","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56684717,-84.37954038,700822.5099999998,5160367.25
1520,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57204004,-84.35189566,702921.6400000006,5161015.02
1531,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57293459,-84.35285751,702844.0399999991,5161114.24
591,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.5694286,-84.4184874,697828.4700000007,5160555.619999999
225,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55882918,-84.41520105,698118.9100000001,5159386.15
64,,"Mount Pleasant Court","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56637312,-84.42062425,697675.8300000001,5160210.76
1535,,"Leigh's Bay Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55688524,-84.42623648,697280.1500000004,5159142.49
700,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57517268,-84.36232963,702110.4800000004,5161336.289999999
60,,"Mount Pleasant Court","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56642515,-84.41994284,697727.8599999994,5160218.25
879,,"Fourth Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56526421,-84.39543317,699613.2599999998,5160148.869999999
509,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56754313,-84.41774672,697892.0899999999,5160347.98
1013,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55580081,-84.40424332,698969.8399999999,5159077.25
1573,,"Leigh's Bay Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55911425,-84.42621634,697273.6099999994,5159390.210000001
560,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56951971,-84.36176386,702174.8499999996,5160709.630000001
663,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57447823,-84.36325001,702042.5399999991,5161256.77
729,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57661892,-84.36348251,702016.7699999996,5161494.029999999
235,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55951231,-84.41515906,698119.6400000006,5159462.16
1569,,"Leigh's Bay Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55848634,-84.42604525,697289,5159320.869999999
1413,,"Leigh's Bay Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55255203,-84.42711606,697228.4399999995,5158658.82
723,,"Fourth Line West","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56558657,-84.38747283,700219.2599999998,5160207.01
1680,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55320988,-84.43584222,696557.1699999999,5158710.130000001
1835,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.5843873,-84.35352215,702750.9499999993,5162382.76
1511,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.58914673,-84.44931893,695394.9600000009,5162669.65
12,,"Aronson Drive","P6A 0B6","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56703866,-84.35929514,702373.2599999998,5160440.289999999
1517,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57235919,-84.35295704,702839.1199999992,5161047.75
308,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56147392,-84.4143657,698173.3000000007,5159682.109999999
1452,,"Leigh's Bay Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55433315,-84.42470323,697406.9299999997,5158862.76
986,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55571734,-84.40321494,699048.9700000007,5159070.57
1832,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55027906,-84.44221081,696079.5600000005,5158368.630000001
1151,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.5611478,-84.40443086,698935.9100000001,5159670.890000001
818,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55229432,-84.40324004,699059.5700000003,5158690.17
659,,"Fourth Line West","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56562721,-84.38424768,700466.2699999996,5160219.720000001
704,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57531779,-84.36221414,702118.7899999991,5161352.710000001
664,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57384962,-84.36235024,702113.8200000003,5161189.23
508,,"Fourth Line West","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.566383,-84.37679179,701034.8599999994,5160322.68
1564,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57649955,-84.35224265,702878.4100000001,5161509.630000001
572,,"Fourth Line West","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56649122,-84.38033343,700763.0500000007,5160325.68
1490,,"Goulais Avenue","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57612691,-84.38327227,700502.3000000007,5161388.84
1544,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57434029,-84.35210311,702897.1600000001,5161270.07
1249,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56407153,-84.40369776,698981.4000000004,5159997.6
738,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57673175,-84.36233008,702104.6500000004,5161509.52
111,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55494363,-84.41579793,698087.3100000005,5158952.92
1152,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56077454,-84.40338333,699017.5600000005,5159632.0600000005
