"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
57,,"Adelaide Street","P6C 3Y5","SSM",46.52755698,-84.35204728,703075.9700000007,5156072.0600000005
60,,"Adelaide Street","P6C 3Y6","SSM",46.52763766,-84.35259285,703033.8300000001,5156079.619999999
61,,"Adelaide Street","P6C 3Y5","SSM",46.52767515,-84.35201976,703077.6400000006,5156085.26
62,,"Adelaide Street","P6C 3Y6","SSM",46.52772502,-84.35251792,703039.25,5156089.52
64,,"Adelaide Street","P6C 3Y6","SSM",46.52782859,-84.35247403,703042.2300000004,5156101.140000001
65,,"Adelaide Street","P6C 3Y5","SSM",46.52777374,-84.35198275,703080.1099999994,5156096.3100000005
68,,"Adelaide Street","P6C 3Y6","SSM",46.5279471,-84.3525469,703036.1999999993,5156114.119999999
69,,"Adelaide Street","P6C 3Y5","SSM",46.52788612,-84.35196216,703081.2699999996,5156108.85
72,,"Adelaide Street","P6C 3Y6","SSM",46.5280873,-84.35250723,703038.7200000007,5156129.800000001
73,,"Adelaide Street","P6C 3Y5","SSM",46.5280214,-84.35193524,703082.8300000001,5156123.949999999
76,,"Adelaide Street","P6C 3Y6","SSM",46.52817183,-84.35249646,703039.2300000004,5156139.220000001
77,,"Adelaide Street","P6C 3Y5","SSM",46.52812886,-84.35191176,703084.2300000004,5156135.949999999
80,,"Adelaide Street","P6C 3Y6","SSM",46.52829597,-84.3524474,703042.5299999993,5156153.140000001
81,,"Adelaide Street","P6C 3Y5","SSM",46.52824117,-84.35186483,703087.4100000001,5156148.550000001
84,,"Adelaide Street","P6C 3Y6","SSM",46.52840371,-84.352405,703045.3800000008,5156165.220000001
85,,"Adelaide Street","P6C 3Y5","SSM",46.52834398,-84.35187392,703086.3300000001,5156159.949999999
88,,"Adelaide Street","P6C 3Y6","SSM",46.52851665,-84.35234604,703049.4800000004,5156177.92
89,,"Adelaide Street","P6C 3Y5","SSM",46.52844686,-84.35185496,703087.4000000004,5156171.43
3,,"Alfred Street","P6A 5K8","SSM",46.5482046,-84.37633301,701137.2200000007,5158304.02
9,,"Alfred Street","P6A 5K8","SSM",46.54842375,-84.37634488,701135.5,5158328.34
37,,"Alfred Street","P6A 5K8","SSM",46.54930836,-84.37631723,701134.3499999996,5158426.699999999
41,,"Alfred Street","P6A 5K8","SSM",46.54955433,-84.37620374,701142.1400000006,5158454.32
79,,"Alfred Street","P6A 5K8","SSM",46.55125855,-84.37639891,701120.8800000008,5158643.18
81,,"Alfred Street","P6A 5K8","SSM",46.55145493,-84.37640301,701119.8399999999,5158664.99
11,,"Anita Boulevard","P6B 4P4","SSM",46.5315617,-84.334667,704393.8100000005,5156561.91
12,,"Anita Boulevard","P6B 4P5","SSM",46.53181989,-84.33419115,704429.3300000001,5156591.83
14,,"Anita Boulevard","P6B 4P5","SSM",46.53193932,-84.3341913,704428.8699999992,5156605.1
17,,"Anita Boulevard","P6B 4P4","SSM",46.53180224,-84.33468469,704391.5500000007,5156588.59
24,,"Anita Boulevard","P6B 4P5","SSM",46.53210873,-84.33417714,704429.3200000003,5156623.960000001
56,,"Anita Boulevard","P6B 4P6","SSM",46.53317809,-84.33500961,704361.4700000007,5156740.619999999
57,,"Anita Boulevard","P6B 4P7","SSM",46.5331763,-84.33436964,704410.5500000007,5156742.08
60,,"Anita Boulevard","P6B 4P6","SSM",46.53330479,-84.33497042,704364,5156754.800000001
61,,"Anita Boulevard","P6B 4P7","SSM",46.53330234,-84.33431313,704414.4100000001,5156756.23
63,,"Anita Boulevard","P6B 4P7","SSM",46.53344155,-84.33432771,704412.7699999996,5156771.66
64,,"Anita Boulevard","P6B 4P6","SSM",46.53347199,-84.3349385,704365.8200000003,5156773.460000001
66,,"Anita Boulevard","P6B 4P6","SSM",46.53358577,-84.33489302,704368.8800000008,5156786.220000001
67,,"Anita Boulevard","P6B 4P7","SSM",46.53356787,-84.33428383,704415.6600000001,5156785.8100000005
70,,"Anita Boulevard","P6B 4P6","SSM",46.53377485,-84.33485416,704371.1500000004,5156807.33
71,,"Anita Boulevard","P6B 4P7","SSM",46.53368644,-84.33423147,704419.2300000004,5156799.119999999
95,,"Anita Boulevard","P6B 4P8","SSM",46.53444926,-84.33362082,704463.1899999995,5156885.460000001
96,,"Anita Boulevard","P6B 4P9","SSM",46.53457583,-84.33458281,704388.9499999993,5156897.029999999
98,,"Anita Boulevard","P6B 4P9","SSM",46.53468796,-84.33452098,704393.2699999996,5156909.65
99,,"Anita Boulevard","P6B 4P8","SSM",46.53458993,-84.3336824,704457.9399999995,5156900.93
100,,"Anita Boulevard","P6B 4P9","SSM",46.53482281,-84.33450669,704393.8599999994,5156924.67
101,,"Anita Boulevard","P6B 4P8","SSM",46.53472097,-84.33366333,704458.9100000001,5156915.539999999
104,,"Anita Boulevard","P6B 4P9","SSM",46.53496558,-84.33446553,704396.4800000004,5156940.640000001
105,,"Anita Boulevard","P6B 4P8","SSM",46.53484281,-84.33365449,704459.1300000008,5156929.1
109,,"Anita Boulevard","P6B 4P8","SSM",46.53497407,-84.33366775,704457.6199999992,5156943.65
110,,"Anita Boulevard","P6B 4P9","SSM",46.53508213,-84.33444247,704397.8100000005,5156953.65
114,,"Anita Boulevard","P6B 4P9","SSM",46.53523146,-84.33441221,704399.5700000003,5156970.32
117,,"Anita Boulevard","P6B 4P8","SSM",46.53510761,-84.33372094,704453.0399999991,5156958.35
120,,"Anita Boulevard","P6B 4P9","SSM",46.53536572,-84.33435334,704403.5800000001,5156985.390000001
121,,"Anita Boulevard","P6B 4P8","SSM",46.53532137,-84.33368296,704455.1500000004,5156982.199999999
124,,"Anita Boulevard","P6B 4P9","SSM",46.53606406,-84.33408843,704421.2699999996,5157063.67
10,,"Assunta Drive","P6C 6H3","SSM",46.54663615,-84.37750461,701053.1999999993,5158126.76
14,,"Assunta Drive","P6C 6H3","SSM",46.54671672,-84.37788227,701023.9499999993,5158134.75
15,,"Assunta Drive","P6C 6H3","SSM",46.54621894,-84.37784338,701028.7699999996,5158079.539999999
16,,"Assunta Drive","P6C 6H3","SSM",46.54671316,-84.37798588,701016.0199999996,5158134.09
17,,"Assunta Drive","P6C 6H3","SSM",46.54621628,-84.37794695,701020.8399999999,5158078.98
18,,"Assunta Drive","P6C 6H3","SSM",46.54667258,-84.37812363,701005.6099999994,5158129.23
19,,"Assunta Drive","P6C 6H3","SSM",46.54621603,-84.37809293,701009.6500000004,5158078.58
20,,"Assunta Drive","P6C 6H3","SSM",46.54666984,-84.37822786,700997.6300000008,5158128.66
21,,"Assunta Drive","P6C 6H3","SSM",46.5462125,-84.37817058,701003.7100000009,5158077.99
22,,"Assunta Drive","P6C 6H3","SSM",46.54671993,-84.37837545,700986.1300000008,5158133.85
23,,"Assunta Drive","P6C 6H3","SSM",46.54621034,-84.37833152,700991.3800000008,5158077.34
24,,"Assunta Drive","P6C 6H3","SSM",46.54671805,-84.37845837,700979.7799999993,5158133.43
25,,"Assunta Drive","P6C 6H3","SSM",46.54620641,-84.37841532,700984.9700000007,5158076.6899999995
26,,"Assunta Drive","P6C 6H3","SSM",46.54666482,-84.37861721,700967.8000000007,5158127.109999999
27,,"Assunta Drive","P6C 6H3","SSM",46.54620464,-84.37855811,700974.0299999993,5158076.130000001
28,,"Assunta Drive","P6C 6H3","SSM",46.54666354,-84.37869501,700961.8399999999,5158126.77
29,,"Assunta Drive","P6C 6H3","SSM",46.5461993,-84.37866259,700966.0399999991,5158075.27
0,,"Bainbridge Street",,"SSM",46.53499232,-84.34592652,703517.5700000003,5156913.98
3,,"Bainbridge Street","P6C 2G8","SSM",46.5360624,-84.33617898,704260.9800000004,5157058.07
8,,"Bainbridge Street","P6C 2G9","SSM",46.53644135,-84.336189,704258.7899999991,5157100.15
11,,"Bainbridge Street","P6C 2G8","SSM",46.53609072,-84.33657576,704230.4499999993,5157060.1899999995
12,,"Bainbridge Street","P6C 2G9","SSM",46.53646503,-84.33642507,704240.5999999996,5157102.17
15,,"Bainbridge Street","P6C 2G8","SSM",46.53611916,-84.33680729,704212.5899999999,5157062.75
16,,"Bainbridge Street","P6C 2G9","SSM",46.53649849,-84.33666353,704222.1899999995,5157105.27
19,,"Bainbridge Street","P6C 2G8","SSM",46.5361481,-84.33704532,704194.2300000004,5157065.35
20,,"Bainbridge Street","P6C 2G9","SSM",46.53652811,-84.33691914,704202.4800000004,5157107.9
23,,"Bainbridge Street","P6C 2G8","SSM",46.53617568,-84.3372786,704176.2400000002,5157067.8100000005
24,,"Bainbridge Street","P6C 2G9","SSM",46.53656521,-84.33714803,704184.7899999991,5157111.43
27,,"Bainbridge Street","P6C 2G8","SSM",46.53620802,-84.33751581,704157.9299999997,5157070.789999999
28,,"Bainbridge Street","P6C 2G9","SSM",46.53659473,-84.33736413,704168.1099999994,5157114.15
31,,"Bainbridge Street","P6C 2G8","SSM",46.53619888,-84.337823,704134.4100000001,5157068.98
32,,"Bainbridge Street","P6C 2G9","SSM",46.53661397,-84.33760303,704149.7200000007,5157115.67
36,,"Bainbridge Street","P6C 2G9","SSM",46.53664135,-84.33783175,704132.0800000001,5157118.119999999
37,,"Bainbridge Street","P6C 2G8","SSM",46.53609921,-84.33803733,704118.3499999996,5157057.35
40,,"Bainbridge Street","P6C 2G9","SSM",46.53662706,-84.33809915,704111.6300000008,5157115.84
44,,"Bainbridge Street","P6C 2G9","SSM",46.53650432,-84.33837473,704090.9600000009,5157101.49
48,,"Bainbridge Street","P6C 2G9","SSM",46.53634837,-84.33856077,704077.2799999993,5157083.68
52,,"Bainbridge Street","P6C 2G9","SSM",46.53628903,-84.33880325,704058.9100000001,5157076.460000001
56,,"Bainbridge Street","P6C 2G9","SSM",46.53626648,-84.33907184,704038.4000000004,5157073.26
57,,"Bainbridge Street","P6C 2H1","SSM",46.53585926,-84.33893368,704050.5199999996,5157028.369999999
60,,"Bainbridge Street","P6C 2G9","SSM",46.53624238,-84.33930842,704020.3499999996,5157069.970000001
61,,"Bainbridge Street","P6C 2H1","SSM",46.5358122,-84.33914686,704034.3499999996,5157022.59
64,,"Bainbridge Street","P6C 2G9","SSM",46.53625374,-84.33953727,704002.7599999998,5157070.640000001
65,,"Bainbridge Street","P6C 2H1","SSM",46.53579642,-84.33942399,704013.1600000001,5157020.119999999
68,,"Bainbridge Street","P6C 2G9","SSM",46.53620766,-84.33978119,703984.2300000004,5157064.890000001
69,,"Bainbridge Street","P6C 2H1","SSM",46.53578636,-84.33967253,703994.1400000006,5157018.359999999
72,,"Bainbridge Street","P6C 2G9","SSM",46.53619856,-84.34001638,703966.2300000004,5157063.27
73,,"Bainbridge Street","P6C 2H1","SSM",46.53576491,-84.33988381,703978.0199999996,5157015.43
76,,"Bainbridge Street","P6C 2G9","SSM",46.53616285,-84.34025314,703948.2100000009,5157058.6899999995
77,,"Bainbridge Street","P6C 2H1","SSM",46.53573693,-84.34012019,703960,5157011.710000001
80,,"Bainbridge Street","P6C 2G9","SSM",46.53613061,-84.34049221,703930,5157054.49
81,,"Bainbridge Street","P6C 2H1","SSM",46.53570126,-84.34037781,703940.3800000008,5157007.08
84,,"Bainbridge Street","P6C 2G9","SSM",46.53609831,-84.34072084,703912.5899999999,5157050.3100000005
85,,"Bainbridge Street","P6C 2H1","SSM",46.53568688,-84.34061079,703922.5700000003,5157004.880000001
88,,"Bainbridge Street","P6C 2G9","SSM",46.5360798,-84.34095428,703894.7599999998,5157047.65
89,,"Bainbridge Street","P6C 2H1","SSM",46.53566199,-84.34082927,703905.9100000001,5157001.550000001
92,,"Bainbridge Street","P6C 2G9","SSM",46.53607598,-84.34117305,703878,5157046.66
93,,"Bainbridge Street","P6C 2H1","SSM",46.53560834,-84.34109195,703885.9700000007,5156994.91
96,,"Bainbridge Street","P6C 2G9","SSM",46.53605585,-84.34142208,703858.9800000004,5157043.779999999
