"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
215,,"Maki Road","P6A 5K8","SSM",46.55805461,-84.41492916,698142.5700000003,5159300.77
275,,"Maki Road","P6A 5K8","SSM",46.56063839,-84.41516296,698115.2400000002,5159587.27
474,,"Maki Road","P6A 5K8","SSM",46.56651798,-84.41631407,698005.6099999994,5160237.67
103,,"Pinto Drive","P6A 0B4","SSM",46.54175924,-84.40999687,698580.0700000003,5157502.57
1440,,"Carpin Beach Road","P6A 5K8","SSM",46.55148312,-84.44573086,695805.3900000006,5158493.67
968,,"Allen's Side Road","P6A 5K8","SSM",46.55431518,-84.40328396,699048.8100000005,5158914.6
23,,"Anderson Road","P6C 5S1","SSM",46.53676917,-84.41399453,698291.75,5156938.0600000005
75,,"Ellis Road","P6C 1N9","SSM",46.53124605,-84.40899812,698695.0099999998,5156336.949999999
1670,,"Base Line","P6A 5K6","SSM",46.52103501,-84.46388185,694522.7799999993,5155065.630000001
647,,"Town Line Road","P6A 6K4","Prince",46.52226071,-84.46623949,694337.5800000001,5155196.01
54,,"McQueen Road","P6C 6E3","SSM",46.56335469,-84.38585936,700351.1300000008,5159963.119999999
16,,"Ransome Drive","P6C 1N2","SSM",46.53077023,-84.40390095,699087.6199999992,5156296.93
239,,"Allen's Side Road","P6C 5P7","SSM",46.53004381,-84.40287359,699169.0600000005,5156218.8100000005
1149,,"Town Line Road","P6A 6K4","Prince",46.5409798,-84.46731868,694188.0399999991,5157273.26
54,,"Foothill Road","P6C 0E4","SSM",46.5649871,-84.38586715,700344.5199999996,5160144.48
1471,,"Goulais Avenue","P6A 5K8","SSM",46.57366107,-84.38446647,700419.8900000006,5161111.82
696,,"Third Line West","P6A 5K8","SSM",46.5518353,-84.3867342,700326.5,5158680.960000001
1569,,"Leigh's Bay Road","P6A 5K8","SSM",46.55848634,-84.42604525,697289,5159320.869999999
530,,"Maki Road","P6A 5K8","SSM",46.56865972,-84.41682538,697958.6300000008,5160474.359999999
61,,"Avery Road","P6A 5K8","SSM",46.55788163,-84.40723498,698732.9299999997,5159300.91
71,,"Ellis Road","P6C 1N9","SSM",46.53123541,-84.40866766,698720.3900000006,5156336.6
1137,,"Wallace Terrace","P6C 1M8","SSM",46.52894179,-84.40294232,699167.8200000003,5156096.1899999995
1643,,"Third Line West","P6A 5K8","SSM",46.55000348,-84.43114043,696929.1799999997,5158365.59
62,,"McQueen Road","P6C 6E3","SSM",46.56333081,-84.38619246,700325.6899999995,5159959.619999999
33,,"Ellis Road","P6C 1N7","SSM",46.53131899,-84.40683278,698860.7899999991,5156350.51
51,,"Appaloosa Avenue","P6A 0B3","SSM",46.5461422,-84.40953887,698602.7599999998,5157992.699999999
1285,,"Allen's Side Road","P6A 5K8","SSM",46.56530493,-84.40236884,699078.7300000004,5160138
974,,"Allen's Side Road","P6A 5K8","SSM",46.55475805,-84.40325943,699049.0700000003,5158963.869999999
264,,"Lakeshore Drive","P6A 5K8","Dennis",46.62703048,-84.52562228,689417.7599999998,5166692.710000001
820,,"Fourth Line West","P6A 5K8","SSM",46.56621337,-84.39216918,699857.0500000007,5160264.74
855,,"Fourth Line West","P6A 5K8","SSM",46.56530732,-84.39423623,699702.6099999994,5160162.109999999
31,,"Ransome Drive","P6C 1N3","SSM",46.53025694,-84.4043006,699058.8499999996,5156238.890000001
46,,"Foothill Road","P6C 0E4","SSM",46.56500966,-84.38556686,700367.4499999993,5160147.75
22,,"Wilks Street","P6C 2M7","SSM",46.53770109,-84.41438691,698258.2699999996,5157040.619999999
51,,"Mount Pleasant Court","P6A 5K8","SSM",46.56563065,-84.41873529,697823.2899999991,5160133
400,,"Lakeshore Drive","P6A 5K8","Dennis",46.62197034,-84.53146035,688988.4800000004,5166116.4399999995
1115,,"Second Line West","P6C 2L9","SSM",46.53523269,-84.40484833,698998.6600000001,5156790.369999999
1100,,"Third Line West","P6A 5K8","SSM",46.55124092,-84.40564435,698879.1199999992,5158567.0600000005
509,,"Maki Road","P6A 5K8","SSM",46.56754313,-84.41774672,697892.0899999999,5160347.98
87,,"Pinto Drive","P6A 0B4","SSM",46.54201315,-84.40947336,698619.2799999993,5157532.1
290,,"Nixon Road","P6C 5R8","SSM",46.53042645,-84.41118383,698530.3900000006,5156240.380000001
54,,"Lakeshore Drive","P6A 5K8","Dennis",46.6342832,-84.51746922,690016.4700000007,5167518.220000001
1532,,"Third Line West","P6A 5K8","SSM",46.55260373,-84.42843383,697127.2400000002,5158661.27
95,,"Yates Avenue","P6C 1G1","SSM",46.52646871,-84.3974348,699599.2400000002,5155835.32
1449,,"Carpin Beach Road","P6A 5K8","SSM",46.55188409,-84.44657356,695739.3499999996,5158536.130000001
55,,"Foothill Road","P6C 0E5","SSM",46.56458743,-84.38586013,700346.5299999993,5160100.09
1181,,"Wallace Terrace","P6C 1M8","SSM",46.52884031,-84.40530609,698986.9199999999,5156078.949999999
77,,"Foothill Road","P6C 0E5","SSM",46.56452127,-84.38698927,700260.2400000002,5160089.869999999
332,,"Lakeshore Drive","P6A 5K8","Dennis",46.62474045,-84.52906663,689162.0800000001,5166429.98
1344,,"Carpin Beach Road","P6A 5K8","SSM",46.54862682,-84.4455623,695828.5899999999,5158176.720000001
145,,"McQueen Road","P6C 6E3","SSM",46.56270258,-84.39028414,700014.4199999999,5159879.43
598,,"Allen's Side Road","P6A 5K8","SSM",46.54257405,-84.40017368,699330.2200000007,5157617.880000001
1659,,"Second Line West","P6A 5K8","SSM",46.53536815,-84.43327832,696818.2100000009,5156734.1
4,,"Anich Road","P6A 0B5","SSM",46.5722486,-84.38980914,700015.7100000009,5160941.3100000005
1363,,"Base Line","P6A 5K6","SSM",46.52030696,-84.44943506,695633.4399999995,5155020.449999999
168,,"Lakeshore Drive","P6A 5K8","Dennis",46.63020642,-84.52122961,689742.9100000001,5167056.17
792,,"Base Line","P6A 5K6","SSM",46.52178945,-84.42123098,697790.5,5155256.869999999
1888,,"Second Line West","P6A 5K8","SSM",46.53598715,-84.44324976,696051.3900000006,5156778.050000001
2065,,"Third Line West","P6A 5K8","SSM",46.54890543,-84.45464365,695131.4199999999,5158185.17
809,,"Town Line Road","P6A 6K4","Prince",46.52935287,-84.46687734,694263.3599999994,5155982.460000001
909,,"Fourth Line West","P6A 5K8","SSM",46.56517888,-84.39670467,699513.2699999996,5160138.3100000005
1964,,"Third Line West","P6A 5K8","SSM",46.55002478,-84.45021859,695466.6199999992,5158320.5
105,,"Allen's Side Road","P6C 5P4","SSM",46.52560997,-84.40265188,699202.2799999993,5155726.720000001
29,,"Anderson Road","P6C 5S1","SSM",46.53716139,-84.41398672,698290.9199999999,5156981.66
1413,,"Leigh's Bay Road","P6A 5K8","SSM",46.55255203,-84.42711606,697228.4399999995,5158658.82
1473,,"Leigh's Bay Road","P6A 5K8","SSM",46.5545105,-84.42618796,697292.4800000004,5158878.75
783,,"Town Line Road","P6A 6K4","Prince",46.52734072,-84.46640489,694306.7699999996,5155760.050000001
1695,,"Third Line West","P6A 5K8","SSM",46.54812899,-84.43657799,696519.1199999992,5158143.75
73,,"Pinto Drive","P6A 0B4","SSM",46.54220468,-84.40896939,698657.2200000007,5157554.65
111,,"McQueen Road","P6C 6E3","SSM",46.56255206,-84.38859197,700144.6600000001,5159867
758,,"Carpin Beach Road","P6A 5K6","SSM",46.52698119,-84.44414112,696015.4600000009,5155775.17
310,,"Nixon Road","P6C 5R8","SSM",46.5310943,-84.41112287,698532.6300000008,5156314.74
1603,,"Second Line West","P6A 5K8","SSM",46.53540635,-84.42999187,697070.0700000003,5156746.550000001
104,,"Ransome Drive","P6C 1N6","SSM",46.53061555,-84.4089521,698700.8399999999,5156267.01
122,,"Allen's Side Road","P6C 5P5","SSM",46.52613203,-84.40197749,699252.0899999999,5155786.43
2060,,"Third Line West","P6A 5K8","SSM",46.55004978,-84.45437723,695147.7400000002,5158312.98
55,,"Avery Road","P6A 5K8","SSM",46.55780393,-84.40678531,698767.6799999997,5159293.41
109,,"Hood Street","P6C 6E5","SSM",46.56176528,-84.39361588,699762.5199999996,5159766.84
1140,,"Goulais Avenue","P6A 5K8","SSM",46.56308737,-84.38238155,700618.6500000004,5159942.26
2117,,"Second Line West","P6A 5K6","SSM",46.53484237,-84.45630567,695054.4000000004,5156618.49
437,,"Nixon Road","P6C 5R7","SSM",46.53525534,-84.41228288,698428.5099999998,5156774.16
591,,"Maki Road","P6A 5K8","SSM",46.5694286,-84.4184874,697828.4700000007,5160555.619999999
154,,"Lakeshore Drive","P6A 5K8","Dennis",46.63033413,-84.52066553,689785.6400000006,5167071.720000001
833,,"Town Line Road","P6A 6K4","Prince",46.53011743,-84.46668698,694275.2300000004,5156067.880000001
