"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","COLLECTIONDAY","OPERATOR","ROUTENUMBER","LEAF_YARD_WASTE_COLLECTION","REFUSE_DAY","RECYCLING_DAY","LATITUDE","LONGITUDE","OBJECTID_12","geometry.x","geometry.y"
292,,"Maki Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56088544,-84.41431539,1,698179.3000000007,5159616.85
1487,,"Carpin Beach Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55364753,-84.44682334,2,695713.8599999994,5158731.449999999
1860,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.54880183,-84.4431005,3,696016.6799999997,5158202.279999999
12,,"Aronson Drive","P6A 0B6","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56703866,-84.35929514,4,702373.2599999998,5160440.289999999
1187,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56326008,-84.40439856,5,698930.6600000001,5159905.67
88,,"Avery Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55928657,-84.40830861,6,698645.5099999998,5159454.3100000005
596,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57228605,-84.36197533,7,702148.3599999994,5161016.460000001
1900,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.54718474,-84.44430495,8,695930.1699999999,5158019.609999999
67,,"Mount Pleasant Court","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56551198,-84.42119383,9,697635.3100000005,5160113.65
822,,"Fourth Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56634116,-84.39272116,10,699814.2799999993,5160277.539999999
1792,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.5502888,-84.44110569,11,696164.2400000002,5158372.460000001
1520,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57204004,-84.35189566,12,702921.6400000006,5161015.02
11,,"Aronson Drive","P6A 0B6","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56700561,-84.3598944,13,702327.4600000009,5160435.08
1511,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56995387,-84.35295748,14,702848.0600000005,5160780.49
188,,"Fourth Line East","P6A 0C3","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.567192,-84.34276803,15,703639.2100000009,5160499.880000001
77,,"Avery Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55769165,-84.40805699,16,698670.6199999992,5159277.73
1280,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56454537,-84.4020061,17,699109.3100000005,5160054.52
1732,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55038196,-84.43890777,18,696332.3900000006,5158388.279999999
1183,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56169208,-84.40437358,19,698938.3100000005,5159731.51
1526,,"Peoples Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57256487,-84.35208387,20,702905.2599999998,5161072.85
1412,,"Leigh's Bay Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55144841,-84.42471571,21,697416.4399999995,5158542.199999999
48,,"Mount Pleasant Court","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56647622,-84.41783208,22,697889.4299999997,5160229.220000001
983,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.55492768,-84.40405902,23,698987.1600000001,5158980.699999999
863,,"Fourth Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56531213,-84.39460515,24,699674.8399999999,5160160.65
1850,,"Third Line West","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.54946372,-84.44284059,25,696034.2200000007,5158276.470000001
871,,"Allen's Side Road","P6A 5K8","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.5517353,-84.4040471,26,698999.75,5158626.02
543,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.56998654,-84.36305142,27,702074.4499999993,5160758.199999999
646,,"Brule Road","P6A 0B5","SSM","Wednesday","GFL",,"Rural Area","Wednesday","Thursday",46.57305925,-84.36212431,28,702134.0700000003,5161101.99
