"COMMONNAME","DESCRIPTIONOFPROPERTY","TYPEHERITAGEFEATURE","HERITAGECLASSIFICATION","HERITAGEDISTRICT","YROFCONSTRUCTION","DESIGNATING_ACT","geometry.x","geometry.y"
"F.H. Clergue",,"Point Of Interest","Heritage","No",,"Historic Sites and Monuments Act",703525.0500000007,5154710.630000001
"St. Marys River",,"Point Of Interest","Heritage","No",,"Historic Sites and Monuments Act",704314.5399999991,5153963.859999999
"Sault Ste. Marie Cenotaph","426 Queen Street East","Monument","Heritage","No",,"OntarioHeritage Act",704608.9000000004,5154368.77
"The Great War of 1914-1918Veteran's War Memorial","Gore & Wellington Streets","Monument","Heritage","No",,"OntarioHeritage Act",704054.5399999991,5155284.52
"Nicolas Perrot",,"Point Of Interest","Heritage","No",,"Historic Sites and Monuments Act",704692.9299999997,5153713.41
"Rotary Welcome Cairn (A)","1 Russ Ramsay Way","Monument","Heritage","No",,"OntarioHeritage Act",704710.5899999999,5153951.76
"Rotary Welcome Cairn (B)","1 Russ Ramsay Way","Monument","Heritage","No",,"OntarioHeritage Act",704702.5399999991,5153961.390000001
"The First Sault Ste. Marie Canal",,"Point Of Interest","Heritage","No",,"Historic Sites and Monuments Act",703384.0700000003,5154773.220000001
"1164 Queen Street East","1164 Queen Street East","BldPrpty","Heritage","No",,"OntarioHeritage Act",706467.6799999997,5153696.76
"Ermatinger Old Stone House","831 Queen Street East","BldPrpty","Heritage","No","1813-1814","OntarioHeritage Act",705264.3200000003,5153777.220000001
"Clergue Blockhouse","831 Queen Street East","BldPrpty","Heritage","No","1819 and 1900","OntarioHeritage Act",705287.2599999998,5153752.859999999
"Precious Blood Cathedral","778 Queen Street East","BldPrpty","Heritage","No","1876","OntarioHeritage Act",705169.5099999998,5153933.15
"Bishop Fauquier Memorial Chapel","1540 Queen Street East","BldPrpty","Heritage","No","1883","OntarioHeritage Act",708148.9499999993,5153165.93
"Bishop Fauquier Memorial Chapel Cemetary","1540 Queen Street East","BldPrpty","Heritage","No",,"OntarioHeritage Act",708226.0299999993,5153176.960000001
"Coronation  Block","234 Queen Street East","BldPrpty","Heritage","No","1902","OntarioHeritage Act",704302.5600000005,5154679.5600000005
"Hussey Block (A)","246 Queen Street East","BldPrpty","Heritage","No","1902","OntarioHeritage Act",704314.3000000007,5154667.619999999
"Algonquin Hotel","864 Queen Street East","BldPrpty","Heritage","No","1888","OntarioHeritage Act",705385.5199999996,5153797.15
"Wellington Square Townhouse (A)","778 Wellington Street East, 193 Pim Street","BldPrpty","Heritage","No","1913","OntarioHeritage Act",705544.6300000008,5154147.630000001
"Wellington Square Townhouse (B)","780 Wellington Street East, 193 Pim Street","BldPrpty","Heritage","No","1913","OntarioHeritage Act",705552.2899999991,5154150.01
"Wellington Square Townhouse (C)","189 Pim Street, 193 Pim Street","BldPrpty","Heritage","No","1913","OntarioHeritage Act",705557.4000000004,5154157.91
"Wellington Square Townhouse (D)","191 Pim Street, 193 Pim Street","BldPrpty","Heritage","No","1913","OntarioHeritage Act",705560.7599999998,5154162.869999999
"Abitibi Head Office or St. Marys Paper","75 Huron Street","BldPrpty","Heritage","No","1901-1902","OntarioHeritage Act",703366.9299999997,5154737.880000001
"North West Company Lock","75 Huron Street","BldPrpty","Heritage","No","1797 and 1896","OntarioHeritage Act",703372.2300000004,5154760.92
