"Name","Location","Address","Municipality","Owner","Access_","Age0_3","Age4_5","Age6_12","Surface","OtherSurfaceType","Swingset","SaucerSwing","Slides","Bars","FiremanPole","MerryGoRound","Platforms","Climbers","RockWall","SeeSaw","SpringRiders","PlaygroundGames","Splashpad","OtherEquipDesc","OtherEquipDesc1","OtherEquipDesc2","BasketballCourt","BaseballField","SoccerField","TennisCourt","VolleyballCourt","FinalScore2013","FinalScore2016","geometry.x","geometry.y"
"Eric Nystedt Memorial Park","Formerly Cedar Heights Park - Eastwood Street at Northwood Street","35-71 Eastwood Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,95,95,706313.1599833632,5158053.859983158
"Anna Marinelli Memorial Park","Albert Street West at James Street Pedestrian Mall","153 James Street","Sault Ste. Marie","City","Public",1,1,1,"Sand",,1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,85,70,702778.140010985,5155316.430016595
"Belleview Park: Toddler Playground","Queen Street at Lake Street","1301 Queen Street East","Sault Ste. Marie","City","Public",1,0,0,"Sand",,1,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,,80,707320.9300150776,5153289.840012258
"Birchwood Park","Birchwood Street","174 Birchwood Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,1,0,75,70,710169.140015506,5154567.48998189
"Brookfield Park","Eden Square at North Eden","15 & 23 Eden Square","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,80,60,699704.7799908676,5156564.610028662
"Bruce Street Park","Bruce Street at Gladstone Avenue","91 Gladstone Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,85,80,705273.2800323423,5155207.210031047
"Cambrian Heights Park","Plummer Court and Lake Street","1077 Lake Street","Sault Ste. Marie","City","Public",1,1,0,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,70,90,707127.9400332873,5156612.650014604
"Centennial Park","Centennial Avenue and Louise Avenue","90 Centennial Avenue","Sault Ste. Marie","City","Public",1,1,0,"Sand","Grass",1,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,65,65,709643.200009078,5153498.330008656
"Drake Street Park","Drake Street at Atlas Street","30 Drake Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,95,75,708821.7199755741,5152994.99997392
"James Lyons Park","John Street at Elm Avenue","56 Elm Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,90,60,703901.8500205622,5156755.760016526
