"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","MUNICIPALITY"
"Abbott Street"," ","Abbott","Street"," ",13,27,14,30,"Sault Ste. Marie"
"Adelaide Street"," ","Adelaide","Street"," ",60,88,57,89,"Sault Ste. Marie"
"Adeline Avenue"," ","Adeline","Avenue"," ",0,73,0,88,"Sault Ste. Marie"
"Administration Building North Lot",,,,,0,0,0,0,"Sault Ste. Marie"
"Administration Building South Lot",,,,,0,0,0,0,"Sault Ste. Marie"
"Admiral Drive"," ","Admiral","Drive"," ",3,23,2,22,"Sault Ste. Marie"
"Adrian Drive"," ","Adrian","Drive"," ",5,111,6,112,"Sault Ste. Marie"
"Airport Road"," ","Airport","Road"," ",1,1253,56,1260,"Sault Ste. Marie"
"Alagash Drive"," ","Alagash","Drive"," ",17,221,26,214,"Sault Ste. Marie"
"Albert Street East"," ","Albert","Street","East",2,680,1,669,"Sault Ste. Marie"
"Albert Street West"," ","Albert","Street","West",1,669,2,688,"Sault Ste. Marie"
"Alberta Avenue"," ","Alberta","Avenue"," ",0,41,0,38,"Sault Ste. Marie"
"Albion Street"," ","Albion","Street"," ",9,173,20,172,"Sault Ste. Marie"
"Alden Road"," ","Alden","Road"," ",13,61,6,48,"Sault Ste. Marie"
"Alexandra Street"," ","Alexandra","Street"," ",115,369,114,368,"Sault Ste. Marie"
"Alfred Street"," ","Alfred","Street"," ",1,47,0,0,"Sault Ste. Marie"
"Algoma Avenue"," ","Algoma","Avenue"," ",1,63,2,64,"Sault Ste. Marie"
"Algoma University Entrance",,"Algoma University Entrance",,,0,0,0,0,"Sault Ste. Marie"
"Allard Street"," ","Allard","Street"," ",3,179,4,178,"Sault Ste. Marie"
"Allen Street"," ","Allen","Street"," ",13,37,10,30,"Sault Ste. Marie"
"Allen's Side Road"," ","Allen's Side","Road"," ",35,1285,114,1280,"Sault Ste. Marie"
"Alpine Street"," ","Alpine","Street"," ",2,34,1,33,"Sault Ste. Marie"
"Alworth Place",,"Alworth","Place"," ",0,109,1,122,"Sault Ste. Marie"
"Amber Street"," ","Amber","Street"," ",1,175,2,176,"Sault Ste. Marie"
"Amherst Street"," ","Amherst","Street"," ",1,59,2,66,"Sault Ste. Marie"
"Amy Avenue"," ","Amy","Avenue"," ",2,100,1,85,"Sault Ste. Marie"
"Anderson Road"," ","Anderson","Road"," ",0,175,0,174,"Sault Ste. Marie"
"Andrew Street"," ","Andrew","Street"," ",0,181,0,170,"Sault Ste. Marie"
"Angelina Avenue"," ","Angelina","Avenue"," ",5,53,4,52,"Sault Ste. Marie"
"Anich Road"," ","Anich","Road"," ",0,0,4,22,"Sault Ste. Marie"
"Anita Boulevard"," ","Anita","Boulevard"," ",11,124,12,121,"Sault Ste. Marie"
"Anna Street"," ","Anna","Street"," ",0,236,5,267,"Sault Ste. Marie"
"Appaloosa Avenue"," ","Appaloosa","Avenue"," ",11,51,10,54,"Sault Ste. Marie"
"Arabian Court",,"Arabian","Court",,18,36,11,41,"Sault Ste. Marie"
"Arbor Drive"," ","Arbor","Drive"," ",1,27,4,26,"Sault Ste. Marie"
"Arcade Street"," ","Arcade","Street"," ",1,1,0,0,"Sault Ste. Marie"
"Arden Street"," ","Arden","Street"," ",3,135,4,166,"Sault Ste. Marie"
"Argyle Road"," ","Argyle","Road"," ",10,28,9,27,"Sault Ste. Marie"
"Arizona Avenue"," ","Arizona","Avenue"," ",12,60,7,75,"Sault Ste. Marie"
"Aronson Drive"," ","Aronson","Drive"," ",7,19,8,28,"Sault Ste. Marie"
"Arthur Street"," ","Arthur","Street"," ",4,20,0,0,"Sault Ste. Marie"
"Ascot Avenue"," ","Ascot","Avenue"," ",3,21,0,20,"Sault Ste. Marie"
"Ashgrove Avenue"," ","Ashgrove","Avenue"," ",6,154,7,151,"Sault Ste. Marie"
"Asquith Street"," ","Asquith","Street"," ",0,209,0,208,"Sault Ste. Marie"
"Assunta Drive"," ","Assunta","Drive"," ",15,29,14,28,"Sault Ste. Marie"
"Atlantic Street",,"Atlantic","Street",,3,3,16,16,"Sault Ste. Marie"
"Atlas Street"," ","Atlas","Street"," ",11,85,10,80,"Sault Ste. Marie"
"Atwater Street"," ","Atwater","Street"," ",1,83,2,84,"Sault Ste. Marie"
"Aubin Road"," ","Aubin","Road"," ",45,45,2,74,"Sault Ste. Marie"
"Autumn Drive"," ","Autumn","Drive"," ",5,73,32,64,"Sault Ste. Marie"
"Avery Drive",,"Avery","Drive",,0,0,0,0,"Sault Ste. Marie"
"Avery Road"," ","Avery","Road"," ",35,115,4,166,"Sault Ste. Marie"
"Avon Avenue"," ","Avon","Avenue"," ",7,21,6,20,"Sault Ste. Marie"
"Back Road",,"Back","Road",,0,0,0,0,"Sault Ste. Marie"
"Backcountry Court",,"Backcountry","Court",,29,113,40,136,"Sault Ste. Marie"
"Bainbridge Street"," ","Bainbridge","Street"," ",3,349,8,318,"Sault Ste. Marie"
"Balsam Lane",,"Balsam","Lane",,0,0,0,0,"Sault Ste. Marie"
"Bar and Strip Road",,"Bar and Strip","Road",,0,0,0,0,"Sault Ste. Marie"
"Barber Boulevard"," ","Barber","Boulevard"," ",0,28,9,71,"Sault Ste. Marie"
"Barrett Street"," ","Barrett","Street"," ",1,19,2,20,"Sault Ste. Marie"
"Barton Street"," ","Barton","Street"," ",0,0,40,54,"Sault Ste. Marie"
"Base Line"," ","Base","Line"," ",339,1705,0,1706,"Sault Ste. Marie"
"Base Line A"," ","Base","Line","A",0,0,0,880,"Sault Ste. Marie"
"Baseline Road A.S.",,"Baseline Road A.S.","Road",,0,0,0,0,"Sault Ste. Marie"
"Bay Road"," ","Bay","Road"," ",9,33,4,32,"Sault Ste. Marie"
"Bay Street"," ","Bay","Street"," ",14,816,0,815,"Sault Ste. Marie"
"Bay Street West",,"Bay","Street","West",2,36,1,35,"Sault Ste. Marie"
"Beatrice Street"," ","Beatrice","Street"," ",10,30,11,31,"Sault Ste. Marie"
"Beaumont Avenue"," ","Beaumont","Avenue"," ",0,108,0,107,"Sault Ste. Marie"
"Beech Street"," ","Beech","Street"," ",15,41,12,36,"Sault Ste. Marie"
"Bell Avenue"," ","Bell","Avenue"," ",0,0,60,78,"Sault Ste. Marie"
"Bellevue Avenue"," ","Bellevue","Avenue"," ",9,137,6,138,"Sault Ste. Marie"
"Bellevue Park Entrance",,"Bellevue Park Entrance",,,0,0,0,0,"Sault Ste. Marie"
"Bennett Boulevard"," ","Bennett","Boulevard"," ",0,240,0,35,"Sault Ste. Marie"
"Beverley Street"," ","Beverley","Street"," ",217,339,224,330,"Sault Ste. Marie"
