"ROLLNUMBER","MPACCIVIC","MPACSTREETNAME","SHAPE_Length","SHAPE_Area"
"020017101000000","152","WOODWARD AVE",83.41688492771542,389.6888499938488
"020017095000000","140","WOODWARD AVE",72.19075026440917,235.34219999784344
"020017073000000","145","BIGGINGS AVE",69.26069758427423,299.6059999780599
"020017097000000","144","WOODWARD AVE",72.17662782032966,235.99214997830651
"020017096000000","142","WOODWARD AVE",75.66799833525496,283.0868000181176
"020017104000000","164","WOODWARD AVE",85.7965225116878,421.71304999860644
"020017099000000","148","WOODWARD AVE",86.26347984962165,431.45030000135563
"020002016000000","509","LAKE ST",133.47735173362693,978.0601500160493
"030029002000000","1119","LAKE ST",575.0190132741009,18586.093050158346
"010070028000000","1403","TRUNK RD",810.8907748382497,15334.306250017535
"060085029020000",,,1895.2677092825827,26745.23580003962
"050041039000000","148","FORT CREEK DR",150.67020924219912,1322.1853500071647
"050041002090000","2037","MILLENNIUM CRT",139.20260100403203,1047.9276999905567
"050041038000000","152","FORT CREEK DR",135.65602831314334,868.8894499505993
"050041002000000",,,200.2457967404838,1870.0345000226907
"050007043000000","329","GILLIES ST",97.5134494803489,445.79315001146347
"0",,,192.18444745389644,1382.4648500713834
"050007069000000","332","MOODY ST",97.53479869081735,445.81080001259295
"030019000950000","196","PROMENADE DR",111.8292120667146,691.1661499646049
"030019057400000","167","PAGEANT DR",114.87451868694839,732.7329499776374
"030019057200000","163","PAGEANT DR",118.90886024115122,813.2405500062059
"060090108000000","179","POINTE AUX PIN DR",3739.700936274495,842764.5722499965
"030019000960000","192","PROMENADE DR",111.73314690384561,695.6465500154652
"060090109000000","151","DALGLEISH RD",1930.6878903002062,147893.71814996636
"050007071000000","342","MOODY ST",97.54403654034263,445.9891000086084
"060090109030000","0","ALAGASH DR",483.0134225420614,12411.212149987023
"060090109020000","0","ALAGASH DR",476.73444486659344,12136.42949999911
"030019055000000","151","PAGEANT DR",117.58820798289428,802.1057999919828
"060090109010000","221","ALAGASH DR",486.9048164586228,12610.17120005158
"050007072000000","350","MOODY ST",97.54398057446726,446.1200000056904
"060085071000000","296","POINTE LOUISE DR",263.92183369749046,1504.6615999837234
"050007073000000","352","MOODY ST",97.51344947864212,445.7931499991421
"050007042000000","333","GILLIES ST",95.06821212651965,401.09025002055245
"050007040000000","341","GILLIES ST",96.93199074959372,434.80479997159426
"050007039000000","345","GILLIES ST",97.55327714361039,446.16739998925704
"050007038000000","349","GILLIES ST",97.53479869054237,445.81080001106557
"050007041000000","337","GILLIES ST",100.59055270487434,501.82640002179556
"030019000980000","184","PROMENADE DR",112.27891126605203,701.0857499802783
"030019057000000","159","PAGEANT DR",123.80640377530304,909.6429999800473
"030019055100000","155","PAGEANT DR",122.22171358911476,883.9432500162645
"030019000970000","188","PROMENADE DR",111.12181371882689,683.8345000161714
"010042119000000","236","PARKLAND CRES",106.67999561351432,580.6680000129696
"030015162000000","52","PARTRIDGE CRT",114.46652520457762,744.2091500102359
"050070048000000","325","OLD GOULAIS BA RD",525.6980643136849,11147.492599921614
"050070045000000","199","FOURTH LINE E",251.78173507117276,3958.1078000286434
"050070045050000","401","OLD GOULAIS BA RD",209.06459901566615,2688.957949999859
"010042159000000","85","KERR DR",115.41532640956811,746.9524999804144
"050070045010000","389","OLD GOULAIS BA RD",193.70962281558639,2237.066399943639
"030015161000000","55","PARTRIDGE CRT",120.11963416366339,820.7189499880515
"010042120000000","240","PARKLAND CRES",106.6799499652366,580.5062499633897
"050070045020000","375","OLD GOULAIS BA RD",279.8086818261457,3861.525399969547
"050070046010000","369","OLD GOULAIS BA RD",492.75179253262814,11143.47564992743
"030015160000000","51","PARTRIDGE CRT",120.11375408542224,819.9893999967393
