"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Wellington Street West"," ","Wellington","Street","West",0,0,0,0,"[[[703792.2599999998,5155571.960000001],[703815.3699999992,5155546.92]]]"
"Edinburgh Street"," ","Edinburgh","Street"," ",21,75,16,58,"[[[704055.9499999993,5155376.8100000005],[703896.0600000005,5155540.140000001],[703876.4499999993,5155548.23],[703858.6799999997,5155553.84],[703831.1199999992,5155561.93],[703792.2599999998,5155571.960000001]]]"
"Wilson Street"," ","Wilson","Street"," ",285,285,280,302,"[[[704772.0600000005,5154954.710000001],[704694.1500000004,5155031.699999999],[704690.5600000005,5155111.300000001]]]"
"Railroad Avenue"," ","Railroad","Avenue"," ",9,27,0,0,"[[[704077.4399999995,5155532],[704136.3499999996,5155512.91],[704203.5500000007,5155444.4]]]"
"North Street"," ","North","Street"," ",309,311,296,296,"[[[704069.9100000001,5155477.6899999995],[704077.4399999995,5155532]]]"
"Bruce Street"," ","Bruce","Street"," ",245,263,246,268,"[[[704772.0600000005,5154954.710000001],[704828.6600000001,5155010.300000001],[704835.8499999996,5155017.1899999995]]]"
"Railroad Avenue"," ","Railroad","Avenue"," ",85,89,66,116,"[[[704293.0500000007,5155353.199999999],[704404.6099999994,5155240]]]"
"Bruce Street"," ","Bruce","Street"," ",225,243,226,244,"[[[704684.6300000008,5154868.75],[704772.0600000005,5154954.710000001]]]"
"Railroad Avenue"," ","Railroad","Avenue"," ",47,83,52,64,"[[[704236.2200000007,5155411.08],[704293.0500000007,5155353.199999999]]]"
"Walnut Street"," ","Walnut","Street"," ",33,35,20,34,"[[[704293.0500000007,5155353.199999999],[704298.7699999996,5155358.369999999],[704302.5800000001,5155365],[704300.8200000003,5155414]]]"
"Francis Street"," ","Francis","Street"," ",0,0,0,0,"[[[704250.0800000001,5155311.43],[704293.0500000007,5155353.199999999]]]"
"Pim Street"," ","Pim","Street"," ",187,193,186,192,"[[[705558.1699999999,5154133.4],[705587.3599999994,5154180.390000001]]]"
"Pim Street"," ","Pim","Street"," ",195,225,194,224,"[[[705587.3599999994,5154180.390000001],[705594.0600000005,5154190.4399999995]]]"
"Pine Street"," ","Pine","Street"," ",191,215,290,310,"[[[706571.2799999993,5154077.65],[706571.3000000007,5154095.5600000005],[706568.9900000002,5154169.890000001]]]"
"Pine Street"," ","Pine","Street"," ",217,333,312,334,"[[[706568.9900000002,5154169.890000001],[706566.6999999993,5154227.9]]]"
"Wellington Street East"," ","Wellington","Street","East",1200,1228,1077,1079,"[[[706469.9900000002,5154166.1899999995],[706568.9900000002,5154169.890000001]]]"
"Pine Street"," ","Pine","Street"," ",335,341,336,342,"[[[706566.6999999993,5154227.9],[706563.2899999991,5154314.1899999995]]]"
"Fourth Line West"," ","Fourth","Line","West",141,151,140,154,"[[[702420.9499999993,5160381.960000001],[702355.9299999997,5160377.26]]]"
"Aronson Drive"," ","Aronson","Drive"," ",7,19,8,28,"[[[702355.9299999997,5160377.26],[702345.0800000001,5160527.75]]]"
"Old Goulais Bay Road"," ","Old Goulais Bay","Road"," ",415,499,414,500,"[[[703712.8699999992,5160482.880000001],[703692.3699999992,5160759.279999999]]]"
"Fifth Line East"," ","Fifth","Line","East",670,790,679,801,"[[[705488.7300000004,5162158.789999999],[705920.9800000004,5162189.35]]]"
"Fifth Line East"," ","Fifth","Line","East",0,0,0,0,"[[[705451.5099999998,5162156.16],[705488.7300000004,5162158.789999999]]]"
